team,fg_pct,opp_fg_pct,three_pt_pct,opp_three_pt_pct,ft_pct,rebounds,opp_rebounds,assists,steals,opp_steals,trnovrs_commited,pts,opp_pts,opp_fouls,prev_season,playoffs
Golden State Warriors,0.456,0.475,0.373,0.365,0.759,45,44.3,24.6,9.2,9.1,17.5,108.4,109.9,25.5,0,0
Houston Rockets*,0.464,0.46,0.362,0.359,0.765,43.9,47.1,25.8,8.4,8.7,16.2,109.3,107.4,24,1,1
Indiana Pacers*,0.48,0.452,0.373,0.36,0.755,44.5,41.6,26.1,7.9,9,18.2,110.8,107.2,27.8,1,1
Los Angeles Clippers,0.472,0.478,0.37,0.372,0.702,41.4,44.3,21.8,9.2,9,17.7,106.5,110.3,24.3,0,0
Los Angeles Lakers*,0.48,0.458,0.351,0.367,0.746,43.5,45.7,27.5,9.5,7.8,15.4,111.4,106.6,23.8,1,1
Miami Heat*,0.457,0.434,0.379,0.361,0.71,46.5,43.9,23.3,7.6,8.8,18.6,105.3,103.8,27,0,1
Milwaukee Bucks,0.467,0.48,0.338,0.397,0.738,42.3,44.5,23.7,7.8,8.7,17.5,105.6,111.5,23.6,0,0
Minnesota Timberwolves,0.459,0.469,0.326,0.38,0.777,42.2,43.5,24.2,8.4,9.4,18.5,104.1,109.8,25.2,0,0
New Jersey Nets,0.427,0.454,0.335,0.384,0.745,51.1,44.9,23.2,8.3,8.8,18.2,101.9,106.5,25.5,0,0
New York Knicks*,0.471,0.442,0.377,0.337,0.757,43.6,45.5,24.2,8.6,8.7,16.9,106,103.5,23.4,1,1
Orlando Magic*,0.482,0.454,0.378,0.366,0.691,44.3,45.5,27.4,8.7,8.5,15.3,112.9,106.9,24.1,1,1
Philadelphia 76ers,0.436,0.483,0.342,0.37,0.734,42.1,48,21.5,8.5,9.5,18.7,102.2,113,25.2,0,0
Phoenix Suns*,0.473,0.471,0.332,0.369,0.771,45.3,43.7,25.8,8,7.6,15.6,110.3,110,25.9,1,1
Portland Trail Blazers*,0.458,0.442,0.353,0.348,0.662,48.7,42.3,22.9,7.7,9.2,17.9,106,103.5,26,1,1
Sacramento Kings*,0.457,0.462,0.387,0.379,0.731,45,43.8,23.8,8.4,10,18.8,106.2,109.1,26.1,0,1
San Antonio Spurs*,0.477,0.439,0.392,0.33,0.736,45.8,46.6,26.6,8.4,7.9,15.5,110.2,103.5,25.6,1,1
Seattle SuperSonics*,0.48,0.438,0.364,0.348,0.76,43.8,42.8,25.7,11.3,9.8,18.5,110.3,102.1,25.9,1,1
Toronto Raptors,0.467,0.475,0.354,0.367,0.723,42.6,43.8,25,9.7,9.9,20,103.8,111.8,22.6,0,0
Utah Jazz*,0.488,0.445,0.372,0.385,0.768,45.4,41.6,28.8,9,7.9,16.4,113.3,106.1,26.7,1,1
Vancouver Grizzlies,0.428,0.475,0.329,0.374,0.724,41.5,48.4,22.6,9.7,9.3,17.9,97.6,108.5,23.7,0,0
Washington Bullets,0.484,0.46,0.407,0.342,0.728,42.1,44.9,23.5,7.7,9,17.2,108.7,107.6,24.4,0,0
Atlanta Hawks*,0.446,0.435,0.359,0.347,0.763,47.1,45.6,21.7,9.8,8.4,17.1,108.5,102.3,24.4,1,1
Boston Celtics,0.44,0.503,0.351,0.365,0.75,41.3,45.7,22.6,10.2,9.1,16.9,103.9,111.4,23,0,0
Charlotte Hornets*,0.471,0.46,0.428,0.357,0.777,43.9,45.6,27.7,8.2,7.3,16.5,110.9,108.9,24.4,0,1
Chicago Bulls*,0.473,0.436,0.373,0.335,0.747,50,44.5,29,9.7,8.4,15,114.4,102.4,23.4,1,1
Cleveland Cavaliers,0.453,0.441,0.376,0.373,0.723,44.7,44.2,25,9.5,8,17.3,104.6,102.4,25.5,1,0
Dallas Mavericks,0.436,0.458,0.327,0.373,0.717,44.9,48,22.6,8.9,9.4,18,101.1,108.2,23.4,0,0
Denver Nuggets,0.439,0.467,0.372,0.393,0.761,44.9,46.2,24.6,6.6,9.4,17.7,104.5,111.2,22.5,0,0
Detroit Pistons*,0.464,0.444,0.388,0.369,0.745,45.1,46.2,22.2,9,7,14.9,110.6,104.4,25.5,1,1
Golden State Warriors,0.456,0.475,0.353,0.373,0.778,43.9,44.1,23.9,8,10.8,18.5,107.2,112.2,24.7,0,0
Houston Rockets*,0.468,0.443,0.365,0.335,0.755,46.1,44.3,26.6,9,9.6,18,108.8,104,22.9,1,1
Indiana Pacers,0.456,0.44,0.381,0.347,0.722,46.3,44.2,23.7,7.9,9.4,18.1,105.8,104.7,26.4,1,0
Los Angeles Clippers*,0.446,0.462,0.354,0.357,0.731,44,46.2,21.9,9.7,9.7,17.3,105.1,107.6,24.5,0,1
Los Angeles Lakers*,0.454,0.441,0.367,0.347,0.692,46.3,46,24.4,9.8,8.2,16.1,108.3,103.7,25.6,1,1
Miami Heat*,0.453,0.432,0.364,0.362,0.719,46.1,45.6,23.8,8.9,8.9,17.9,106.8,100.6,25.1,1,1
Milwaukee Bucks,0.471,0.472,0.352,0.342,0.741,43.7,43.9,21.9,8.6,9.3,17.5,106.2,108.3,24.1,0,0
Minnesota Timberwolves*,0.456,0.45,0.339,0.362,0.751,43.6,45.9,25.1,8.3,8.8,16.6,105.5,107.1,24.5,0,1
New Jersey Nets,0.422,0.464,0.353,0.372,0.74,49.7,46.4,22.7,8.9,8.9,16.9,104.7,109.7,23.4,0,0
New York Knicks*,0.463,0.425,0.363,0.35,0.748,46.6,41.8,24.2,8.4,9.7,19.5,104.4,101,25.1,1,1
Orlando Magic*,0.437,0.46,0.341,0.343,0.746,45,47.6,23.1,9.5,9.6,17.1,105.6,106,24.2,1,1
Philadelphia 76ers,0.438,0.47,0.319,0.365,0.725,46.1,46.3,21.6,8.7,10.5,18.3,104.6,111.4,25.6,0,0
Phoenix Suns*,0.469,0.467,0.369,0.368,0.761,42.7,45.5,26.8,8.6,8.6,15.3,109.3,108.6,23.9,1,1
Portland Trail Blazers*,0.464,0.436,0.358,0.357,0.713,47.2,41.9,22.7,8.5,8.7,18,107.9,103.3,25.1,1,1
Sacramento Kings,0.454,0.462,0.391,0.352,0.723,45.2,45.2,23.9,7.8,9.5,17.7,105,108.7,23.8,1,0
San Antonio Spurs,0.442,0.471,0.32,0.387,0.719,45,46.7,23.1,9,9.3,17.3,103.3,112.3,22.9,1,0
Seattle SuperSonics*,0.467,0.441,0.353,0.373,0.752,44.1,43.9,25.9,12.1,8.5,16.5,111.2,102.7,25.9,1,1
Toronto Raptors,0.437,0.465,0.363,0.348,0.72,45.3,45.2,22.9,9.6,9,18,104.6,108,24,0,0
Utah Jazz*,0.504,0.438,0.37,0.352,0.769,44.3,41.1,29.6,10.1,8.6,16.9,113.6,104,27.5,1,1
Vancouver Grizzlies,0.437,0.472,0.349,0.365,0.709,43.6,49.8,25.5,9,9.9,17.8,100.3,111.8,21.9,0,0
Washington Bullets*,0.48,0.454,0.331,0.371,0.707,44.9,44,25.1,9.3,8.7,16.9,106.6,104.9,23.2,0,1
Atlanta Hawks*,0.455,0.442,0.332,0.342,0.756,48.5,44.5,21.6,9,8.5,16.7,108.2,104.3,26.1,1,1
Boston Celtics,0.434,0.479,0.332,0.318,0.726,42.3,45.1,23.7,12.9,9.1,17.3,102.6,105.4,22.4,0,0
Charlotte Hornets*,0.468,0.464,0.383,0.347,0.751,45.1,43.8,26.3,9.4,7.9,16.9,107.5,105.3,25.8,1,1
Chicago Bulls*,0.451,0.431,0.323,0.322,0.743,50,44.2,26.5,9.5,8.9,16,107.7,99.8,24.1,1,1
Cleveland Cavaliers*,0.454,0.433,0.372,0.344,0.756,44.3,42.8,25.5,11,9.5,19.1,102.2,99.1,25.6,0,1
Dallas Mavericks,0.427,0.46,0.357,0.342,0.753,44.1,51.8,20.6,8.7,8.8,15.8,100.5,107.2,21.6,0,0
Denver Nuggets,0.417,0.473,0.323,0.379,0.772,43.4,47.4,21,9,9,17.8,99,112.1,24.2,0,0
Detroit Pistons,0.449,0.445,0.312,0.33,0.745,46.1,45.3,21.8,9.2,8.8,16.3,105.3,103.5,25.5,1,0
Golden State Warriors,0.413,0.444,0.272,0.347,0.71,49.8,48.6,22.6,8.2,10,18.1,95.8,105.7,21.7,0,0
Houston Rockets*,0.452,0.469,0.343,0.365,0.771,44.4,44.8,23.9,9.1,9.7,17.3,107.7,108.6,23.2,1,1
Indiana Pacers*,0.469,0.432,0.39,0.316,0.764,44.4,46.4,26,8.9,8.9,16.1,108.4,101.6,25.4,0,1
Los Angeles Clippers,0.438,0.474,0.358,0.362,0.723,43.5,47.8,20.1,8.2,9.5,17.4,103.3,111.2,22.9,1,0
Los Angeles Lakers*,0.481,0.439,0.351,0.355,0.679,45.9,44.8,26,9.5,8.5,16.2,111.9,103.7,27.8,1,1
Miami Heat*,0.45,0.428,0.355,0.331,0.739,47.6,45.5,24.3,9.2,8.8,16.9,107.6,102,25.6,1,1
Milwaukee Bucks,0.456,0.461,0.354,0.327,0.767,43.7,43.6,22,9.8,10.2,18.5,103.5,105.6,24.1,0,0
Minnesota Timberwolves*,0.461,0.448,0.347,0.358,0.743,45.4,45.9,26.9,8.3,7.9,14.8,107.8,107.1,24.2,1,1
New Jersey Nets*,0.441,0.471,0.331,0.346,0.744,46.2,45,22.3,10.3,8.2,15.6,108.3,106.6,26.8,0,1
New York Knicks*,0.447,0.428,0.335,0.317,0.772,46.8,43.8,24.5,8.7,9,17.1,103,100.3,23.4,1,1
Orlando Magic,0.429,0.454,0.323,0.324,0.726,47,46.6,23.5,9,10.4,17.5,102.6,103.8,25.9,1,0
Philadelphia 76ers,0.443,0.451,0.3,0.344,0.737,45.9,46.4,23.2,9.8,10.3,18.2,102.8,105.4,25.6,0,0
Phoenix Suns*,0.468,0.442,0.356,0.361,0.749,45.3,44.6,27.9,9.9,9.5,16.3,107.4,101.8,23.3,1,1
Portland Trail Blazers*,0.451,0.431,0.309,0.343,0.737,48.5,43.2,23.7,7.9,10.4,18.6,104,102.4,24.5,1,1
Sacramento Kings,0.442,0.457,0.351,0.356,0.687,44.9,48.7,24.2,7.9,9.2,16.8,100.8,106.9,23.4,0,0
San Antonio Spurs*,0.468,0.411,0.35,0.328,0.688,49.6,44.5,25.2,7.1,10,18,103.8,99.4,25.3,0,1
Seattle SuperSonics*,0.473,0.446,0.396,0.324,0.721,42.7,46.7,26.9,10.9,8.7,15.5,111.6,103.6,24.7,1,1
Toronto Raptors,0.435,0.479,0.343,0.383,0.718,43.4,49.1,22.7,10,9.6,17.8,101.2,111,22.7,0,0
Utah Jazz*,0.49,0.439,0.372,0.357,0.773,45.8,40.8,28.2,8.8,8.8,17.1,112.7,105.4,29,1,1
Vancouver Grizzlies,0.458,0.475,0.362,0.385,0.739,44.6,46,25.8,8.1,11,18.5,104.1,112,24.1,0,0
Washington Wizards,0.452,0.455,0.339,0.356,0.691,45.7,46.2,25.1,9.1,8.3,15.3,105.2,104.5,25.4,1,0
Atlanta Hawks*,0.409,0.413,0.306,0.3,0.731,50.7,45.4,18.2,8.1,8.8,17.4,100.5,97.1,28,1,1
Boston Celtics,0.436,0.443,0.36,0.312,0.692,46.2,47.2,23.2,9.8,10,17.4,100.4,102.4,21.6,0,0
Charlotte Hornets,0.449,0.434,0.365,0.333,0.747,43.4,47.3,24.4,9.8,9.8,17.5,102.3,102.4,25.3,1,0
Chicago Bulls,0.401,0.455,0.289,0.34,0.709,44.4,47.8,22.9,9.8,10,17.5,92.4,103,24.2,1,0
Cleveland Cavaliers,0.439,0.436,0.341,0.35,0.749,41.2,46,25.2,10.4,9,18.1,99.6,101.6,27.6,1,0
Dallas Mavericks,0.434,0.45,0.339,0.315,0.728,47.4,48.6,20.6,7.9,8.1,15.4,102.3,104.9,23.3,0,0
Denver Nuggets,0.421,0.469,0.328,0.37,0.762,45,46.8,21.4,8.3,8.7,16.3,103.1,110.4,24.3,0,0
Detroit Pistons*,0.447,0.436,0.365,0.346,0.74,46.5,44.4,23.3,10.2,9.8,18.2,104.2,100.3,25.7,0,1
Golden State Warriors,0.415,0.42,0.287,0.336,0.676,52.9,48.1,23.1,9.2,8.9,17.1,98.4,101.1,22.9,0,0
Houston Rockets*,0.462,0.434,0.368,0.357,0.729,46.5,46,23.7,8.6,9.9,18.2,105.4,102.9,23.1,1,1
Indiana Pacers*,0.448,0.434,0.368,0.325,0.796,46.5,47.1,23.1,7.3,8.2,14.9,108.7,104.4,25.9,1,1
Los Angeles Clippers,0.427,0.474,0.32,0.354,0.721,43.3,47.5,18.1,9.4,9.3,17.6,100,109.7,23.1,0,0
Los Angeles Lakers*,0.468,0.441,0.352,0.332,0.683,45.7,44.1,23.8,8.5,8.9,16.4,107.6,104.3,27.6,1,1
Miami Heat*,0.453,0.411,0.359,0.348,0.735,47.4,46.2,24,7.7,9.1,17.5,104.7,98.9,25.9,1,1
Milwaukee Bucks*,0.459,0.427,0.373,0.334,0.733,44.4,47,23.6,10.1,9.1,16.5,104.9,103,23.3,0,1
Minnesota Timberwolves*,0.425,0.439,0.298,0.326,0.743,47.1,47.2,26.7,9.3,8,14.1,101.9,101.5,22.3,1,1
New Jersey Nets,0.406,0.453,0.331,0.341,0.769,46.9,48,20.1,10.7,8.6,16.3,99.5,103.6,23.6,1,0
New York Knicks*,0.435,0.403,0.353,0.353,0.732,47.1,46.6,22,9,9.7,18.4,98.6,97.5,23.6,1,1
Orlando Magic*,0.428,0.443,0.33,0.345,0.7,47.8,45.3,23.9,11.1,10.5,18.4,100.3,97.4,24.9,0,1
Philadelphia 76ers*,0.426,0.423,0.264,0.337,0.722,48.1,45,20.8,12.1,9.7,18.3,99.9,97.6,26.4,0,1
Phoenix Suns*,0.449,0.45,0.372,0.36,0.76,44.6,46.9,27.6,9.8,9.1,15.1,105.8,103.3,23.6,1,1
Portland Trail Blazers*,0.442,0.417,0.364,0.318,0.743,49,44.3,23.7,9.1,9.1,17,104.8,97.7,25.2,1,1
Sacramento Kings*,0.445,0.446,0.308,0.336,0.683,46.7,48.1,23.1,9.1,10,17.3,102.7,103.1,22.6,0,1
San Antonio Spurs*,0.456,0.402,0.33,0.304,0.698,49.3,47.2,24.7,9.4,9.8,17,104,95,25.7,1,1
Seattle SuperSonics,0.442,0.457,0.344,0.345,0.681,46.4,46.4,24.1,8.7,8.8,16.9,105,106.2,25.8,1,0
Toronto Raptors,0.421,0.439,0.341,0.372,0.76,48.3,44.9,23.2,9.8,10,17.9,102,103.9,24.4,0,0
Utah Jazz*,0.465,0.413,0.361,0.321,0.767,46.8,43.7,27.3,9,9.8,18.5,105.8,98.4,29.7,1,1
Vancouver Grizzlies,0.428,0.463,0.327,0.351,0.717,44.5,47.1,21.3,9.3,10.8,18.8,98.4,107.9,25.8,0,0
Washington Wizards,0.445,0.446,0.309,0.352,0.705,44.3,47.4,23.6,8.7,8.9,16.3,101.2,103.7,24.1,0,0
Atlanta Hawks,0.441,0.455,0.317,0.367,0.743,49,46.5,20.4,6.6,8.6,16.7,102,107.9,24.1,1,0
Boston Celtics,0.444,0.47,0.331,0.361,0.745,45.4,43.6,22.4,10.2,8.2,16.2,104.8,105.6,24.8,0,0
Charlotte Hornets*,0.449,0.448,0.339,0.378,0.758,45.5,45.4,26.1,9.5,7.8,15.6,104.3,101.4,26.8,0,1
Chicago Bulls,0.415,0.456,0.329,0.341,0.709,45.5,46.3,22.3,8.8,11.6,21.1,94.2,104.6,26.6,0,0
Cleveland Cavaliers,0.442,0.443,0.373,0.342,0.75,44.3,45.5,24.5,9,8.3,18,100.4,104,26,0,0
Dallas Mavericks,0.453,0.457,0.391,0.345,0.804,43.3,50.9,23.2,7.6,7.7,14.4,106.6,107.2,23.2,0,0
Denver Nuggets,0.442,0.45,0.336,0.354,0.724,46.7,46.4,24.4,7.1,7.9,16.3,103.5,105.8,24.7,0,0
Detroit Pistons*,0.459,0.465,0.359,0.371,0.781,42.7,44,21.6,8.4,8.2,16.3,107.3,105.8,28.1,1,1
Golden State Warriors,0.42,0.467,0.323,0.367,0.697,47.6,48.2,23.6,9.3,8.8,16.6,99.8,108.4,24,0,0
Houston Rockets,0.45,0.456,0.358,0.354,0.733,46.2,44.7,22.8,7.9,9.4,18.3,104.8,105.7,23.6,1,0
Indiana Pacers*,0.459,0.446,0.392,0.327,0.811,45.1,46.9,24.3,7.3,8,15.1,108.5,103.6,25,1,1
Los Angeles Clippers,0.426,0.477,0.339,0.387,0.746,43.2,48.5,19.2,7.5,8.1,17.2,97.8,110.1,22.4,0,0
Los Angeles Lakers*,0.459,0.416,0.329,0.326,0.696,50,45.9,24.9,8,8.1,14.8,107.3,98.2,27.3,1,1
Miami Heat*,0.46,0.422,0.371,0.361,0.736,47.8,44.7,26.1,7.9,8.4,16.6,104.5,101,24.2,1,1
Milwaukee Bucks*,0.465,0.457,0.369,0.391,0.786,44.2,44.4,24.1,8.7,8.3,16,108.2,107.9,24.4,1,1
Minnesota Timberwolves*,0.467,0.445,0.346,0.356,0.78,45.8,44.1,29,8.2,7.8,15,106.1,103.4,22.1,1,1
New Jersey Nets,0.433,0.464,0.347,0.363,0.784,43.9,49.5,22.1,9.4,7.4,14.6,105.1,106.3,24.5,0,0
New York Knicks*,0.455,0.424,0.375,0.338,0.781,45.1,45.7,21.6,7,8.2,16.3,102.5,100.9,24.4,1,1
Orlando Magic,0.452,0.445,0.338,0.338,0.735,46,44.5,21.3,9.3,9,18,102.4,101.7,25.1,1,0
Philadelphia 76ers*,0.442,0.435,0.323,0.356,0.708,47.2,46.6,23.7,10.3,8.2,16.8,101.5,100,25.8,1,1
Phoenix Suns*,0.457,0.424,0.368,0.352,0.759,46.1,45.6,27,9.6,9.4,17.6,104.6,99,23.1,1,1
Portland Trail Blazers*,0.47,0.431,0.361,0.33,0.76,47.6,43.2,26,8.5,8.8,16.8,107.9,100.8,25.3,1,1
Sacramento Kings*,0.45,0.452,0.322,0.353,0.754,45,47.6,23.8,9.6,9.2,16.2,105,102.1,23.7,1,1
San Antonio Spurs*,0.462,0.425,0.374,0.343,0.746,47.9,45.2,24.2,8.2,8.6,16.4,105,98.6,25.2,1,1
Seattle SuperSonics*,0.447,0.451,0.339,0.34,0.695,45.8,48,24.4,8.5,7.7,15,105.6,104.6,23.9,0,1
Toronto Raptors*,0.433,0.454,0.363,0.339,0.765,46.6,46.2,25.6,8.8,7.3,14.9,104.7,104.9,24.6,0,1
Utah Jazz*,0.464,0.446,0.385,0.354,0.773,45.6,42.3,27.7,8.5,8,16.5,107.3,102.3,27.4,1,1
Vancouver Grizzlies,0.449,0.474,0.361,0.333,0.774,44.2,43.9,22.6,8.1,9.6,18.4,102.3,108.5,25.4,0,0
Washington Wizards,0.451,0.459,0.376,0.371,0.743,45.8,44.2,23.1,7.7,9,17.2,103.5,107,25.7,0,0
Atlanta Hawks,0.431,0.442,0.357,0.367,0.759,46.5,47.1,20.6,8.4,9.2,18.1,98.7,104.3,22.4,0,0
Boston Celtics,0.428,0.459,0.363,0.368,0.74,42.7,46.3,22.3,10.1,8.5,16.8,101.4,103.7,24.9,0,0
Charlotte Hornets*,0.431,0.426,0.346,0.36,0.745,49.2,44.9,25.7,9,8.3,16,101.8,99.5,23.9,1,1
Chicago Bulls,0.424,0.472,0.346,0.356,0.739,43.1,47.5,24.5,9.1,8.6,17.5,97.2,107.3,23.7,0,0
Cleveland Cavaliers,0.442,0.445,0.334,0.365,0.765,45.8,45,22.7,8.5,9.2,17.9,100.3,104.9,24,0,0
Dallas Mavericks*,0.459,0.439,0.381,0.334,0.794,44.2,48,22.6,8,8.1,14.8,107.1,102.6,24,0,1
Denver Nuggets,0.433,0.446,0.355,0.356,0.737,47.5,47.9,25.8,7.2,7.7,14.9,103.7,106.3,23,0,0
Detroit Pistons,0.424,0.434,0.35,0.348,0.721,47.6,47,20.8,7.8,8.5,16.6,100,101.8,26.3,1,0
Golden State Warriors,0.409,0.472,0.293,0.379,0.706,48.1,48.1,23.1,9.6,9.3,16.8,97.8,107.4,22.8,0,0
Houston Rockets,0.453,0.449,0.357,0.354,0.758,46.1,45.6,21.6,7.9,8.1,16.1,106.7,104.2,23.7,0,0
Indiana Pacers*,0.44,0.423,0.342,0.336,0.766,47.2,47.5,23.7,7.6,7.9,16.7,102,102.2,25.3,1,1
Los Angeles Clippers,0.448,0.44,0.339,0.329,0.693,47.1,46.5,21.2,6.5,8.5,17.3,101.3,104.5,24,0,0
Los Angeles Lakers*,0.465,0.438,0.344,0.354,0.683,48.2,44.5,24.8,7.4,8.1,15.6,108.4,104.8,26.3,1,1
Miami Heat*,0.43,0.431,0.345,0.331,0.759,45,47.7,22.6,8.8,8.3,15.6,101.1,98.5,25.3,1,1
Milwaukee Bucks*,0.458,0.439,0.379,0.352,0.787,45.8,46.1,24.3,8.8,7.8,14.8,108.8,104.6,23.4,1,1
Minnesota Timberwolves*,0.458,0.452,0.357,0.351,0.785,45.8,45.8,27.5,9,7.7,15,105.2,103.7,21.8,1,1
New Jersey Nets,0.425,0.455,0.333,0.36,0.759,43,48,21.2,8.6,8.2,16,100,105.5,23.9,0,0
New York Knicks*,0.444,0.417,0.351,0.352,0.796,45.9,45.8,21.1,7.6,8.3,16.5,101.2,98.2,24.4,1,1
Orlando Magic*,0.438,0.435,0.364,0.346,0.714,45.4,47.4,23.3,8.7,9,16.1,103.2,102.1,25.1,0,1
Philadelphia 76ers*,0.447,0.429,0.326,0.342,0.745,49,44.7,22.6,9.2,9,17.2,103.6,98.9,25.9,1,1
Phoenix Suns*,0.436,0.435,0.315,0.349,0.755,45.5,45.4,24.8,10.1,8.9,16.3,100.3,98,23.7,1,1
Portland Trail Blazers*,0.468,0.438,0.349,0.368,0.762,46.8,43.3,26.7,9.1,8.8,17.1,106.5,101.8,23.7,1,1
Sacramento Kings*,0.449,0.432,0.354,0.355,0.771,46.7,47.7,23.4,10,8.4,15.5,105.6,99.6,22.4,1,1
San Antonio Spurs*,0.461,0.419,0.407,0.329,0.715,48.8,45.9,24,7.7,8.1,15.5,106.6,98,26.3,1,1
Seattle SuperSonics,0.456,0.453,0.399,0.349,0.732,45.3,46,23.7,8.7,8.6,16.6,105.6,105.6,24,1,0
Toronto Raptors*,0.437,0.447,0.369,0.363,0.747,48.2,45.5,26.5,7.9,7.4,14.3,105.9,103.4,23.7,1,1
Utah Jazz*,0.471,0.439,0.381,0.343,0.752,45,41.3,28.5,8.9,9.4,17.5,107.6,102.4,27.1,1,1
Vancouver Grizzlies,0.439,0.463,0.343,0.362,0.77,44,47.5,25.1,7.8,9.4,17.1,99.6,105.8,23.4,0,0
Washington Wizards,0.439,0.47,0.324,0.396,0.759,44.6,44,21.7,8.3,9.1,18.3,100.6,107.8,26,0,0
Atlanta Hawks,0.439,0.459,0.354,0.355,0.765,44.9,46.6,21.9,8.8,9.3,16.8,101.8,106.4,21.8,0,0
Boston Celtics*,0.424,0.425,0.359,0.34,0.764,45.3,49.2,22.5,10.4,8.2,14.6,103.4,101,22.7,0,1
Charlotte Hornets*,0.44,0.432,0.348,0.375,0.745,48.3,45.6,23.8,8.8,8.5,15.6,104.3,103.3,23.1,1,1
Chicago Bulls,0.433,0.465,0.346,0.358,0.722,43.9,46.8,24.3,8.5,9.1,16.8,98.2,107.6,23,0,0
Cleveland Cavaliers,0.448,0.457,0.377,0.394,0.772,46.2,44.3,25.3,7.7,8.1,16,104.6,108.2,21.9,0,0
Dallas Mavericks*,0.462,0.452,0.378,0.35,0.806,45.3,47.7,23.6,7.6,7.7,12.9,112.2,107.7,23.3,1,1
Denver Nuggets,0.424,0.459,0.329,0.361,0.744,46,47.3,24.4,8.2,9,16.2,101.4,107.8,22.1,0,0
Detroit Pistons*,0.452,0.447,0.376,0.362,0.756,43,47.4,23.9,8.8,8.8,16.2,104.8,102.4,25.4,0,1
Golden State Warriors,0.429,0.459,0.322,0.348,0.722,49.1,45.6,21.9,8.3,9.1,17.7,102.8,108.5,25,0,0
Houston Rockets,0.428,0.464,0.335,0.36,0.741,46.8,48.4,20.2,7.3,7.8,15.7,103.1,108.6,22.4,0,0
Indiana Pacers*,0.446,0.438,0.339,0.348,0.772,45.9,46.7,24.7,8.6,8.1,16.4,104.1,103.8,24.3,1,1
Los Angeles Clippers,0.445,0.448,0.356,0.355,0.739,47.8,46.3,23.1,6.9,8.2,16.3,105.5,106,23.9,0,0
Los Angeles Lakers*,0.461,0.424,0.354,0.317,0.699,47.8,46.7,24.8,8.2,7.7,13.7,109.4,101.7,24.9,1,1
Memphis Grizzlies,0.436,0.457,0.307,0.358,0.708,45.2,49.2,23.8,8.6,10.4,17.9,98.2,106.3,23.8,0,0
Miami Heat,0.439,0.425,0.347,0.342,0.724,47.5,46.5,22.9,7.5,8.5,16.8,98.5,100.2,23.5,1,0
Milwaukee Bucks,0.462,0.441,0.375,0.358,0.748,45.4,46.6,24.7,8,8,15.5,106.9,107.1,21.9,1,0
Minnesota Timberwolves*,0.461,0.445,0.378,0.372,0.798,48.5,43.3,26.7,7,7.3,14.7,109,105.3,22.4,1,1
New Jersey Nets*,0.446,0.429,0.338,0.348,0.735,46.9,46.4,26.2,9.4,8.8,15.7,104,99.5,22,0,1
New York Knicks,0.432,0.445,0.353,0.353,0.787,45,47.3,23.2,7.5,9.3,16.1,101.5,105.9,22.6,1,0
Orlando Magic*,0.448,0.456,0.373,0.352,0.754,43.9,48.3,23.4,8.6,8.6,14.5,107,105.3,22.6,1,1
Philadelphia 76ers*,0.436,0.426,0.299,0.331,0.779,49.6,45.6,22.4,9.6,9,17.2,102.1,100.3,25,1,1
Phoenix Suns,0.447,0.444,0.327,0.358,0.767,46.4,46.6,24.3,8.8,9.1,16,103.3,104,20.1,1,0
Portland Trail Blazers*,0.45,0.453,0.354,0.363,0.763,47.8,43.6,26.1,9.5,8.3,15.9,107.4,104,22.4,1,1
Sacramento Kings*,0.467,0.44,0.367,0.337,0.751,47.2,46.8,24.9,9.4,8,14.3,109,101.1,23.2,1,1
San Antonio Spurs*,0.458,0.426,0.362,0.338,0.742,46.6,46.1,22.1,8.4,8.5,15.8,106.5,99.7,25.5,1,1
Seattle SuperSonics*,0.469,0.449,0.378,0.344,0.755,44.9,46.4,26.2,9.5,7.7,15.3,108.9,105.6,22.1,0,1
Toronto Raptors*,0.434,0.441,0.349,0.346,0.739,47.2,47,24.3,9.4,8.6,16.1,102.6,103.1,22.1,1,1
Utah Jazz*,0.45,0.447,0.333,0.383,0.763,46.4,42,26.8,10,10,18.1,105.6,104.6,27.7,1,1
Washington Wizards,0.441,0.452,0.388,0.354,0.765,47.5,45.9,23.6,7.8,7.9,14.7,104.8,106.4,23.6,0,0
Atlanta Hawks,0.444,0.437,0.352,0.359,0.793,46.3,46.3,22.3,8.1,9.8,18.1,102.3,106.1,22.1,0,0
Boston Celtics*,0.415,0.435,0.334,0.331,0.742,44.2,49.1,21,9.6,8.2,15.3,101.2,101.6,23.9,1,1
Chicago Bulls,0.445,0.439,0.35,0.323,0.722,45.4,47.5,22.9,7.8,9.9,17.9,100.2,105.6,23.1,0,0
Cleveland Cavaliers,0.422,0.453,0.327,0.358,0.747,47.1,44.1,22,8.2,10.3,19.3,96.5,106.7,22,0,0
Dallas Mavericks*,0.453,0.438,0.381,0.34,0.829,45.3,48.9,24.1,8.7,7.2,12.4,110.7,102.3,22.9,1,1
Denver Nuggets,0.411,0.443,0.278,0.37,0.699,46.4,44.2,23.2,9.5,9.9,20.2,92.2,101.3,23.9,0,0
Detroit Pistons*,0.43,0.438,0.358,0.344,0.771,46.2,47.1,22.5,7.7,7.9,15.3,104.1,99.9,26.5,1,1
Golden State Warriors,0.441,0.452,0.344,0.372,0.778,49.4,46.3,22.1,7.7,9.2,16.7,108.3,109.5,25,0,0
