team,fg_pct,opp_fg_pct,three_pt_pct,opp_three_pt_pct,ft_pct,rebounds,opp_rebounds,assists,steals,opp_steals,trnovrs_commited,pts,opp_pts,opp_fouls,prev_season,playoffs
Cleveland Cavaliers*,0.471,0.478,0.287,0.277,0.749,43.4,43.6,25,7.4,7.3,16.5,106,108.7,25,0,1
Dallas Mavericks*,0.489,0.504,0.343,0.308,0.793,42.1,43.2,26.3,7,7,14.5,111.5,109.3,25.3,1,1
Denver Nuggets*,0.486,0.512,0.311,0.252,0.785,40.9,42.8,25.5,10.1,7.5,15.5,110.7,108.4,24.5,1,1
Detroit Pistons*,0.48,0.496,0.226,0.313,0.788,45.4,42.3,26.5,8,7.4,15.5,109.6,107.2,23.2,1,1
Golden State Warriors,0.463,0.536,0.282,0.259,0.768,40.6,42.4,20.6,9.4,7.6,17.1,106,113,25.5,0,0
Houston Rockets*,0.504,0.481,0.22,0.349,0.699,44,40,26.5,8.1,9.2,19,107.9,106.3,22.5,0,1
Indiana Pacers,0.476,0.495,0.194,0.32,0.744,44.1,42.5,22.5,7.2,9,18.7,102.5,108.4,23.9,0,0
Kansas City Kings,0.504,0.51,0.265,0.251,0.779,40.7,39.9,27.2,7.7,8.9,18.5,109.5,112.1,25.7,1,0
Los Angeles Clippers,0.495,0.49,0.298,0.281,0.758,43.3,42.5,23.3,6.4,9.3,19.1,105.8,110.3,22.7,0,0
Los Angeles Lakers*,0.545,0.48,0.305,0.283,0.763,42.5,39.1,30.3,8.2,8.9,18.1,114.1,107,22.4,1,1
Milwaukee Bucks*,0.491,0.461,0.303,0.26,0.757,43.9,42.9,26.3,8.4,7.8,16.8,110.5,103.6,25.6,1,1
New Jersey Nets*,0.49,0.499,0.232,0.302,0.729,42.8,41.9,26,9.3,8.2,16.3,107.9,107.7,23.2,1,1
New York Knicks,0.484,0.495,0.258,0.293,0.726,39.1,44,24.3,9.2,8.1,17.7,104.9,109.6,24.8,1,0
Philadelphia 76ers*,0.492,0.488,0.263,0.257,0.803,44,40.3,24,9.8,9.1,18.9,111.3,107.3,26.5,1,1
Phoenix Suns*,0.491,0.493,0.283,0.29,0.771,40.8,41.9,27.6,8.6,9.1,18.7,104.7,106.8,23.9,1,1
Portland Trail Blazers*,0.503,0.493,0.252,0.254,0.751,40.8,42,25.9,9.6,8.5,17.3,110.4,107.2,25.2,1,1
San Antonio Spurs*,0.513,0.496,0.272,0.298,0.763,42,39.7,27,8.8,8.7,18,109.9,109,25.1,0,1
Seattle SuperSonics,0.474,0.493,0.243,0.312,0.771,40.6,42.8,26.8,8,9,18.3,102.8,108.2,24.8,1,0
Utah Jazz*,0.476,0.464,0.336,0.257,0.772,42,46.3,24.8,8.2,9.3,18.2,103.3,103.4,24,1,1
Washington Bullets*,0.479,0.487,0.274,0.284,0.743,41.1,45.7,25.2,8.5,7.6,15.5,104,104.6,22.1,1,1
Atlanta Hawks*,0.49,0.475,0.199,0.307,0.732,44.3,42.8,24.5,8.9,8.4,18,107.9,105.6,25.8,0,1
Boston Celtics*,0.508,0.461,0.351,0.27,0.794,45.5,40.7,28.5,7.7,8.7,16.2,111.8,102.6,23.5,1,1
Chicago Bulls*,0.481,0.504,0.278,0.3,0.769,43.1,42,24.3,7.4,8,17.4,108.6,112.4,24.3,1,1
Cleveland Cavaliers,0.48,0.475,0.338,0.29,0.752,42.3,43.3,24.6,7.5,8.5,16.8,105.5,108.3,23.2,1,0
Dallas Mavericks*,0.501,0.503,0.316,0.289,0.776,41.7,43.7,25,7.2,7.3,15.3,112.1,111,26,1,1
Denver Nuggets*,0.471,0.491,0.233,0.229,0.798,40.3,45.8,24.4,9.4,7.3,15.2,107.1,105.9,24.1,1,1
Detroit Pistons*,0.484,0.492,0.302,0.275,0.783,43.5,43.3,27,8.6,7.7,15.6,109,107.9,23,1,1
Golden State Warriors,0.482,0.52,0.313,0.284,0.76,42.1,43,23.5,8.7,8.1,16.3,108.3,111.6,24.1,0,0
Houston Rockets*,0.49,0.491,0.274,0.325,0.73,44,42,27.2,8.7,8,16.1,110.1,107.6,23.2,1,1
Indiana Pacers,0.481,0.473,0.161,0.265,0.739,45.2,42.5,26,7.9,9,18.2,102.6,105.9,23,0,0
Los Angeles Clippers,0.473,0.507,0.279,0.28,0.77,40.4,44.1,23.3,8.2,9,17.8,105.4,112.1,25,0,0
